;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0;257.5;559.5;234.5;411.5;-546.0;-1285.5;0.0;293.5;-88.5;-923.5
1;-135.5;440.0;265.5;349.5;-488.0;-1278.0;0.0;161.5;673.0;-1135.0
2;-840.0;290.0;-179.5;-184.0;-751.0;-1273.5;-114.0;-330.5;225.5;-691.5
3;-1219.0;332.5;-1039.0;-551.5;-973.5;-1284.0;-442.5;-727.0;-430.5;-836.0
4;-1219.5;-183.0;-1285.0;-649.5;-973.0;-1284.0;-1188.5;-1228.0;-830.5;-1182.5
5;-1219.0;-706.5;-852.5;-649.5;-973.0;-1284.0;-1288.0;-1280.0;-1028.5;-1182.5
6;-1219.0;-351.5;-668.5;-649.0;-840.0;-1284.0;-1287.5;-1279.0;-1286.5;-1186.5
7;-1220.0;-253.0;-753.5;-649.0;-812.5;-1284.0;-1288.0;-1278.0;-1285.5;-1183.0
8;-1220.0;-568.0;-1004.5;-649.0;-1129.0;-1284.0;-1286.5;-1279.5;-1286.0;-1153.0
9;-1220.0;-737.0;-1252.5;-650.5;-1292.0;-1033.0;-1286.0;-1279.0;-1222.0;-1184.5
10;-1219.0;-738.0;-808.5;-648.5;-1289.0;-964.0;-1285.0;-1277.0;-1209.5;-1191.0
11;-1220.0;-738.0;-183.5;-921.0;-1290.5;-964.0;-1284.0;-1007.5;-1284.0;-1137.5
12;-991.5;-427.5;620.0;-756.5;-1290.0;-805.5;-1126.5;0.0;-988.0;-773.0
13;-725.0;0.0;632.5;-836.5;-1291.5;-644.0;-1126.0;-212.5;-638.0;-521.0
14;-1130.5;-278.0;-120.5;-1130.0;-818.5;-905.0;-809.5;-698.5;-111.0;-524.0
15;-1214.5;-846.0;-672.5;-1129.5;-456.0;-1279.0;-210.5;-801.0;389.5;-128.5
16;-1215.0;-898.0;-737.5;-978.5;0.0;-1274.0;218.0;-177.5;395.0;68.0
17;-640.0;56.0;148.5;-711.5;250.0;-501.0;306.5;479.5;373.0;817.5
18;323.0;809.5;638.5;-37.0;478.5;327.5;375.0;852.5;374.5;804.0
19;370.5;937.5;513.5;315.5;527.5;451.0;264.5;672.0;409.5;628.5
20;-93.5;866.0;152.5;307.5;322.5;-146.0;188.0;358.0;497.5;276.5
21;-1023.0;561.5;0.0;212.5;129.5;-1120.0;176.5;262.5;328.0;0.0
22;-1001.0;699.0;739.5;494.0;194.0;-876.0;227.5;282.0;455.0;-783.0
23;-808.0;350.5;321.5;261.5;389.0;-730.0;3.0;358.0;0.0;132.0
24;-1144.5;292.5;-613.5;-185.0;-103.0;-1169.0;-607.0;402.5;-925.5;66.5
25;-1210.5;201.0;-1285.0;-932.0;-648.0;-1226.5;-968.0;175.5;-103.0;-642.0
26;-1210.5;-55.0;-1285.0;-1124.0;-1052.0;-1119.0;-1082.5;-367.0;1.0;-1034.5
27;-1210.5;-943.0;-1285.0;-1124.0;-1286.0;-1266.5;-1213.0;-1106.0;0.0;-1057.5
28;-1208.0;-1218.5;-1283.5;-1123.0;-1285.0;-1272.0;-1282.0;-1276.5;-456.0;-970.0
29;-1208.0;-1219.0;-1284.0;-1123.0;-1186.0;-959.5;-1280.5;-1275.5;-432.5;-552.0
30;-805.0;-1220.0;-1283.5;-507.5;42.0;-631.0;-855.5;-688.5;2.0;-564.5
31;-100.5;-577.0;-1283.0;0.0;473.0;0.0;-139.0;179.5;217.5;-748.0
32;0.0;84.5;-868.5;0.0;292.5;0.0;0.0;414.5;458.5;1543.0
33;329.0;277.0;-135.5;0.0;239.5;348.0;77.0;461.5;556.0;1428.0
34;559.5;534.0;400.5;246.5;525.5;476.0;105.0;490.0;369.5;1213.0
35;543.5;544.0;752.0;419.0;532.5;360.5;121.5;526.0;0.0;1059.5
36;383.0;224.5;763.0;610.0;909.0;331.0;346.0;439.5;72.5;916.0
37;324.5;254.5;733.0;443.5;702.5;381.0;584.5;447.0;469.5;686.0
38;319.0;499.0;549.5;286.5;481.0;474.0;552.5;388.0;294.0;804.5
39;767.5;813.5;212.5;420.5;561.5;430.5;391.5;426.5;357.5;901.5
40;420.0;550.0;156.0;534.5;310.0;393.0;141.5;318.0;349.0;1214.0
41;539.5;265.5;399.5;1040.5;308.5;378.5;97.5;309.0;317.5;1195.0
42;885.5;297.0;995.0;1125.5;180.0;432.5;88.0;260.0;554.0;1127.5
43;1289.5;760.0;1155.0;1007.0;729.0;533.5;0.0;263.5;1248.0;857.5
44;1203.5;249.0;399.0;488.5;311.0;605.0;0.0;263.5;1173.5;1220.5
45;332.5;109.5;191.0;139.5;165.5;480.5;-178.5;269.5;599.0;0.0
46;229.5;109.5;500.5;666.0;-4.5;792.5;-173.5;265.0;238.0;-783.0
47;-60.0;106.5;529.0;589.0;-648.0;614.5;0.0;197.5;-372.5;132.0
48;-648.5;107.5;82.5;441.0;-889.0;116.5;-469.0;-225.5;-925.5;251.0
49;-577.5;155.5;-445.5;83.0;-1291.5;-504.0;-1124.0;-681.0;-103.0;84.0
50;-619.5;54.5;-1052.5;-412.5;-1290.0;-1013.0;-1124.5;-1035.5;1.0;-279.0
51;-1179.5;-592.0;-1018.5;-1094.0;-1288.0;-1276.0;-1245.5;-1163.0;0.0;-560.5
52;-1209.5;-1186.5;0.0;-1123.5;-1149.5;-1276.0;-1280.0;-1164.5;-456.0;-861.5
53;-1208.5;-1001.5;-420.5;-1123.0;-648.0;-925.0;-1280.0;-1164.5;-432.5;-687.0
54;-1193.5;-966.5;-965.0;-164.5;-86.0;-79.0;-1278.5;-1162.0;2.0;89.0
55;-630.5;-922.0;-1142.0;523.5;0.0;320.0;-704.5;-1165.0;217.5;379.5
56;-31.5;-741.0;-1233.0;460.0;158.5;898.5;-645.0;-1165.5;458.5;1543.0
57;369.0;-359.0;-1184.0;849.0;575.5;622.5;-138.5;-506.0;556.0;1428.0
58;902.5;-459.0;85.5;950.0;692.0;479.5;0.0;212.5;369.5;1213.0
59;1047.5;-507.0;506.0;881.0;718.0;384.0;1.5;461.5;0.0;1059.5
60;859.0;0.0;752.5;759.5;553.0;375.5;51.0;387.5;72.5;916.0
61;454.5;-188.5;396.5;528.0;220.5;265.0;199.5;51.5;469.5;686.0
62;809.5;-788.0;-560.0;442.0;-553.5;215.0;314.5;-488.5;294.0;804.5
63;239.0;-1094.5;-1056.5;323.5;-333.0;256.5;314.5;-755.5;357.5;901.5
64;264.0;-1200.5;-1284.0;314.5;159.0;255.5;322.5;-619.0;349.0;1214.0
65;1020.5;-128.5;-318.5;813.5;421.0;883.0;357.5;312.5;317.5;1195.0
66;1568.5;192.5;996.5;1094.0;724.5;782.5;45.0;464.0;554.0;1127.5
67;1575.5;108.0;490.5;1139.5;1034.5;485.0;0.0;581.0;1248.0;857.5
68;677.5;-326.5;312.0;1107.5;105.0;481.5;102.0;1050.5;1173.5;1220.5
69;154.0;-736.0;530.0;855.0;-977.0;420.5;199.0;601.0;599.0;0.0
70;0.0;-504.5;1009.0;239.0;-1149.5;824.5;153.0;638.5;238.0;-783.0
71;-178.0;0.0;582.5;201.0;-1290.0;405.0;90.5;775.5;-372.5;132.0
72;-673.0;-619.5;-244.0;-78.5;-814.5;-87.5;-286.0;850.5;-1191.0;-936.5
73;-1196.5;-1022.5;-1025.0;-487.0;-822.0;-484.0;-845.5;171.0;-1153.5;-1199.0
74;-1213.5;-1202.0;-1057.5;-674.0;-1272.5;-856.5;-1280.0;-640.5;-1164.5;-1206.5
75;-1214.0;-1219.5;-1029.5;-1092.5;-1286.0;-1278.5;-1277.0;-1188.0;-1169.5;-1196.5
76;-1214.0;-1217.0;-1267.0;-1129.0;-1250.5;-1276.0;-1276.0;-1277.5;-1181.5;-1283.0
77;-1213.5;-1217.0;-1282.5;-764.5;-647.0;-989.5;-1276.0;-853.0;-1277.0;-1284.0
78;-1215.0;-1214.5;-900.5;107.5;-645.5;105.0;-1276.0;3.5;-1076.0;-1125.0
79;-1214.5;-1216.5;0.0;457.5;-211.0;519.5;-1276.0;487.5;-238.5;-579.5
80;-1144.5;-1214.0;669.0;614.0;0.0;840.0;-818.5;701.5;654.0;-365.0
81;-467.5;-1214.0;717.0;628.0;275.5;886.5;-395.0;659.0;1023.5;-83.0
82;116.0;-1213.0;806.0;660.0;483.5;721.5;-3.0;680.0;937.5;-43.0
