Hours;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
00:00-01:00;15.15;36.67;23.86;58.82;6.74;51.00;41.88;50.87;89.06;
01:00-02:00;12.96;45.56;22.39;58.23;4.74;46.27;38.60;48.19;78.48;0.10
02:00-03:00;12.09;40.28;20.59;51.95;3.66;39.78;36.55;44.68;85.16;1.33
03:00-04:00;11.70;39.20;16.81;47.27;1.26;27.87;32.32;42.92;50.00;4.08
04:00-05:00;11.66;36.22;17.41;45.49;20.10;23.21;30.85;40.39;37.67;4.16
05:00-06:00;11.35;34.04;17.02;44.50;31.82;22.64;30.14;40.20;39.70;3.58
06:00-07:00;9.85;38.58;15.86;44.50;28.66;20.90;30.17;39.63;40.59;4.37
07:00-08:00;9.54;43.32;18.16;44.72;13.71;26.54;30.00;40.09;43.26;0.12
08:00-09:00;9.49;50.00;17.73;44.22;4.14;25.00;30.65;41.27;49.66;0.06
09:00-10:00;11.64;49.53;19.77;42.06;2.03;25.00;30.65;44.88;70.05;
10:00-11:00;11.94;50.87;23.75;45.70;15.51;34.64;30.27;45.00;76.79;
11:00-12:00;13.15;50.86;26.03;47.91;0.42;41.03;30.34;47.20;84.10;
12:00-13:00;15.24;50.17;27.06;49.57;2.30;48.97;30.99;50.78;94.74;
13:00-14:00;13.69;47.97;26.59;48.69;2.30;41.06;30.04;45.49;96.80;0.10
14:00-15:00;12.43;45.20;25.00;46.91;5.00;37.95;30.75;44.73;97.17;1.50
15:00-16:00;9.92;41.45;20.06;46.51;8.56;33.42;32.11;46.59;98.52;23.50
16:00-17:00;12.12;40.08;19.43;46.52;9.42;39.80;35.98;52.99;114.50;36.54
17:00-18:00;15.24;43.62;24.57;51.59;12.46;44.29;40.40;60.26;149.97;46.03
18:00-19:00;15.73;48.55;33.11;59.07;15.93;62.65;44.05;60.61;146.33;44.43
19:00-20:00;17.73;52.32;35.34;62.10;22.02;65.56;46.16;60.36;140.28;54.95
20:00-21:00;15.63;53.10;33.07;56.26;20.00;61.27;44.02;57.40;121.88;47.38
21:00-22:00;13.93;48.78;29.52;55.00;21.95;57.41;40.68;53.86;102.61;40.24
